date, pm25, pm10, no2, so2, co
2025/7/1, 28, 12, 3, 1, 5
2025/7/2, 41, 22, 7, 1, 5
2025/7/3, 65, 16, 3, , 5
2025/7/4, 42, 12, 3, 1, 5
2025/7/5, 41, 14, 2, 1, 5
2025/7/6, 44, 15, 6, 1, 5
2025/7/7, 46, 8, 3, 2, 5
2025/7/8, 23, 3, 3, 2, 5
2025/7/9, 11, 5, 3, 2, 5
2025/7/10, 15, 12, 3, 2, 5
2025/7/11, 34, 9, 3, 2, 4
2025/7/12, 28, 13, 4, 2, 5
2025/7/13, 38, 15, 5, 1, 5
2025/7/14, 47, 14, 3, 2, 5
2025/7/15, 44, 11, 3, 2, 5
2025/7/16, 33, 8, 4, 2, 5
2025/7/17, 22, 10, 5, 3, 5
2025/7/18, 29, 10, 2, 2, 5
2025/7/19, 35, 11, 2, 2, 5
2025/7/20, 41, 17, 3, 2, 5
2025/7/21, 51, 9, 1, 2, 5
2025/7/22, 29, 9, 2, 2, 5
2025/4/1, 50, 13, 1, 3, 5
2025/4/2, 43, 16, 4, 3, 5
2025/4/3, 41, 15, 7, 3, 5
2025/4/4, 43, 15, 2, 3, 5
2025/4/5, 44, 14, 1, 3, 4
2025/4/6, 25, 15, 6, 3, 5
2025/4/7, 36, 13, 4, 3, 5
2025/4/8, 40, 16, 10, 3, 5
2025/4/9, 42, 10, 4, 3, 4
2025/4/10, 34, 15, 2, 3, 5
2025/4/11, 40, 12, 1, 3, 5
2025/4/12, 39, 14, 1, 3, 5
2025/4/13, 42, 16, 1, 3, 6
2025/4/14, 40, 9, 1, 3, 5
2025/4/15, 27, 21, 1, 3, 5
2025/4/16, 43, 29, 4, 3, 5
2025/4/17, 59, 15, 3, 3, 5
2025/4/18, 40, 8, 3, 3, 5
2025/4/19, 27, 14, 4, 3, 5
2025/4/20, 38, 21, 5, 3, 5
2025/4/21, 54, 25, 5, 3, 5
2025/4/22, 52, 18, 4, 3, 5
2025/4/23, 47, 17, 5, 3, 5
2025/4/24, 46, 11, 5, 4, 5
2025/4/25, 33, 9, 1, 3, 4
2025/4/26, 27, 12, 3, 3, 4
2025/4/27, 28, 12, 5, 2, 5
2025/4/28, 34, 16, 4, 3, 5
2025/4/29, 43, 20, 6, 3, 5
2025/4/30, 49, 17, 4, 3, 5
2025/5/1, 46, 19, 6, 3, 5
2025/5/2, 51, 21, 4, 3, 5
2025/5/3, 52, 12, 2, 3, 5
2025/5/4, 28, 10, 1, 4, 5
2025/5/5, 26, 12, 1, 4, 5
2025/5/6, 34, 16, 3, 4, 5
2025/5/7, 43, 13, 2, 4, 4
2025/5/8, 29, 14, 5, 4, 5
2025/5/9, 34, 12, 4, 3, 5
2025/5/10, 33, 9, 2, 4, 5
2025/5/11, 29, 11, 3, 4, 5
2025/5/12, 36, 11, 5, 4, 5
2025/5/13, 37, 14, 7, 4, 5
2025/5/14, 41, 10, 7, 4, 5
2025/5/15, 32, 7, 4, 4, 5
2025/5/16, 24, 7, 2, 4, 5
2025/5/17, 22, 4, 2, 4, 5
2025/5/18, 13, 4, 3, 4, 5
2025/5/19, 16, 7, 5, 4, 5
2025/5/20, 23, 11, 5, 4, 5
2025/5/21, 32, 12, 4, 4, 5
2025/5/22, 42, 5, 2, 4, 5
2025/5/23, 19, 9, 3, 4, 5
2025/5/24, 31, 11, 2, 4, 4
2025/5/25, 40, 12, 5, 4, 5
2025/5/26, 40, 12, 5, 4, 5
2025/5/27, 37, 14, 5, 4, 5
2025/5/28, 46, 6, 3, 4, 5
2025/5/29, 20, 11, 6, 4, 5
2025/5/30, 32, 10, 2, 3, 5
2025/5/31, 38, 13, 3, 4, 5
2025/6/1, 45, 13, 5, 4, 5
2025/6/2, 48, 9, 5, 4, 5
2025/6/3, 27, 15, 5, 4, 5
2025/6/4, 49, 20, 4, 4, 5
2025/6/5, 66, 22, 6, 4, 5
2025/6/6, 68, 20, 4, 4, 5
2025/6/7, 78, 11, 2, 4, 5
2025/6/8, 74, 7, 3, 4, 5
2025/6/9, 57, 12, 4, 4, 5
2025/6/10, 45, 14, 3, 4, 5
2025/6/11, 48, 11, 3, 4, 5
2025/6/12, 35, 12, 4, 4, 5
2025/6/13, 43, 11, 2, 4, 5
2025/6/14, 60, 14, 2, 4, 5
2025/6/15, 69, 15, 5, 4, 6
2025/6/16, 71, 9, 2, 5, 6
2025/6/17, 63, 16, 3, , 5
2025/6/18, 76, 19, 5, , 6
2025/6/19, 58, 13, 3, , 5
2025/6/20, 31, 10, 3, , 5
2025/6/21, 34, 12, 3, , 5
2025/6/22, 43, 20, 5, 1, 5
2025/6/23, 57, 12, 3, 1, 5
2025/6/24, 37, 12, 5, 1, 5
2025/6/25, 39, 17, 4, 1, 5
2025/6/26, 52, 14, 3, , 5
2025/6/27, 49, 8, 1, , 5
2025/6/28, 29, 11, 2, 1, 5
2025/6/29, 42, 12, 3, , 5
2025/6/30, 41, 9, 3, , 4
2025/1/1, 58, 17, 8, 2, 6
2025/1/2, 57, 6, 6, 2, 7
2025/1/3, 23, 5, 8, 2, 8
2025/1/4, 17, 11, 10, 2, 6
2025/1/5, 40, 8, 3, 3, 5
2025/1/6, 35, 8, 5, 3, 5
2025/1/7, 30, 4, 6, 2, 5
2025/1/8, 14, 5, 5, 3, 5
2025/1/9, 19, 5, 4, 2, 4
2025/1/10, 19, 4, 3, 2, 4
2025/1/11, 16, 4, 4, 2, 3
2025/1/12, 14, 11, 9, 1, 3
2025/1/13, 39, 18, 9, 1, 7
2025/1/14, 59, 20, 11, 2, 7
2025/1/15, 66, 12, 6, 2, 9
2025/1/16, 45, 15, 11, 1, 5
2025/1/17, 51, 26, 14, 1, 5
2025/1/18, 81, 41, 16, 2, 6
2025/1/19, 115, 36, 12, 3, 8
2025/1/20, 102, 35, 17, 2, 10
2025/1/21, 95, 16, 11, 2, 10
2025/1/22, 57, 11, 7, 4, 7
2025/1/23, 40, 17, 11, 2, 8
2025/1/24, 58, 13, 6, 2, 5
2025/1/25, 46, 11, 3, 2, 5
2025/1/26, 39, 12, 5, 3, 6
2025/1/27, 43, 11, 7, 3, 6
2025/1/28, 34, 9, 6, 3, 5
2025/1/29, 28, 11, 12, 2, 7
2025/1/30, 31, 10, 10, 2, 6
2025/1/31, 32, 10, 8, 2, 5
2025/2/1, 30, 20, 7, 2, 7
2025/2/2, 66, 17, 10, 1, 5
2025/2/3, 52, 19, 11, 2, 6
2025/2/4, 54, 25, 13, 2, 7
2025/2/5, 71, 19, 9, 2, 6
2025/2/6, 55, 26, 6, 2, 5
2025/2/7, 78, 29, 10, 2, 6
2025/2/8, 83, 24, 11, 2, 7
2025/2/9, 68, 34, 16, 2, 8
2025/2/10, 79, 31, 13, 1, 8
2025/2/11, 80, 24, 13, 2, 8
2025/2/12, 63, 22, 5, 3, 6
2025/2/13, 66, 22, 8, 3, 6
2025/2/14, 73, 11, 3, 2, 4
2025/2/15, 41, 15, 2, 2, 4
2025/2/16, 54, 22, 9, 2, 5
2025/2/17, 68, 30, 10, 2, 6
2025/2/18, 81, 30, 13, 1, 6
2025/2/19, 80, 29, 13, 2, 7
2025/2/20, 75, 33, 15, 1, 7
2025/2/21, 66, 32, 13, 2, 6
2025/2/22, 68, 35, 11, 2, 8
2025/2/23, 72, 34, 10, 2, 7
2025/2/24, 77, 45, 10, 2, 7
2025/2/25, 111, 44, 13, 2, 8
2025/2/26, 117, 36, 15, 2, 10
2025/2/27, 101, 11, 7, 2, 6
2025/2/28, 40, 11, 6, 2, 5
2025/3/1, 41, 9, 7, 2, 5
2025/3/2, 35, 15, 9, 2, 6
2025/3/3, 43, 20, 11, 2, 6
2025/3/4, 54, 26, 17, 2, 7
2025/3/5, 60, 22, 11, 2, 6
2025/3/6, 59, 30, 15, 2, 7
2025/3/7, 64, 24, 9, 2, 6
2025/3/8, 64, 29, 8, 2, 7
2025/3/9, 72, 40, 11, 3, 6
2025/3/10, 74, 14, 6, 3, 5
2025/3/11, 38, 13, 8, 3, 5
2025/3/12, 34, 10, 7, 3, 6
2025/3/13, 34, 10, 8, 3, 6
2025/3/14, 31, 5, 2, 3, 5
2025/3/15, 24, 10, 2, 3, 4
2025/3/16, 36, 10, 4, 2, 5
2025/3/17, 34, 8, 5, 2, 5
2025/3/18, 25, 18, 10, 2, 6
2025/3/19, 49, 21, 11, 2, 6
2025/3/20, 53, 24, 13, 2, 6
2025/3/21, 61, 21, 5, 3, 6
2025/3/22, 61, 13, 3, 3, 5
2025/3/23, 43, 15, 6, 3, 5
2025/3/24, 45, 14, 5, 3, 6
2025/3/25, 46, 17, 4, 3, 5
2025/3/26, 53, 28, 2, 3, 5
2025/3/27, 79, 24, 2, 3, 5
2025/3/28, 68, 25, 6, 3, 5
2025/3/29, 68, 25, 4, 3, 5
2025/3/30, 66, 14, 3, 3, 5
2025/3/31, 43, 16, 2, 3, 5
2024/10/1, 28, 13, 7, 2, 3
2024/10/2, 31, 10, 4, , 2
2024/10/3, 30, 6, 4, 2, 3
2024/10/4, 21, 6, 2, , 3
2024/10/5, 20, 5, 1, 2, 3
2024/10/6, 15, 9, 4, 2, 2
2024/10/7, 25, 11, 5, 2, 4
2024/10/8, 27, 11, 4, 2, 3
2024/10/9, 28, 10, 5, 2, 2
2024/10/10, 27, 8, 5, 2, 2
2024/10/11, 26, 12, 2, 2, 2
2024/10/12, 27, 10, 3, 2, 2
2024/10/13, 26, 8, 5, 2, 3
2024/10/14, 20, 11, 6, 2, 3
2024/10/15, 29, 15, 7, 2, 3
2024/10/16, 38, 13, 8, 2, 3
2024/10/17, 37, 16, 10, 2, 3
2024/10/18, 43, 14, 9, 2, 4
2024/10/19, 40, 16, 8, 1, 3
2024/10/20, 44, 20, 11, 1, 3
2024/10/21, 48, 23, 8, 2, 4
2024/10/22, 56, 24, 7, 2, 4
2024/10/23, 59, 17, 8, 1, 3
2024/10/24, 41, 26, 11, 2, 4
2024/10/25, 55, 23, 8, 2, 5
2024/10/26, 57, 28, 4, 4, 4
2024/10/27, 63, 28, 9, 2, 4
2024/10/28, 61, 18, 9, 2, 4
2024/10/29, 45, 19, 8, , 4
2024/10/30, 48, 11, 6, 2, 3
2024/10/31, 26, 17, 7, 2, 4
2024/11/1, 42, 14, 6, 2, 3
2024/11/2, 42, 13, 6, 1, 3
2024/11/3, 39, 14, 8, 2, 4
2024/11/4, 41, 20, 10, 1, 4
2024/11/5, 52, 26, 12, 2, 6
2024/11/6, 62, 31, 13, 1, 6
2024/11/7, 72, 32, 13, 2, 6
2024/11/8, 77, 28, 12, 2, 6
2024/11/9, 76, 27, 10, 2, 6
2024/11/10, 77, 37, 16, 2, 7
2024/11/11, 86, 28, 11, 2, 6
2024/11/12, 73, 35, 9, 2, 5
2024/11/13, 93, 14, 6, 2, 4
2024/11/14, 44, 17, 10, 2, 5
2024/11/15, 49, 20, 8, 2, 4
2024/11/16, 61, 13, 6, 2, 4
2024/11/17, 41, 9, 7, 2, 4
2024/11/18, 35, 8, 7, 3, 3
2024/11/19, 26, 12, 5, 4, 3
2024/11/20, 47, 6, 7, 3, 5
2024/11/21, 17, 9, 9, 3, 4
2024/11/22, 36, 8, 6, 2, 4
2024/11/23, 31, 8, 3, 2, 4
2024/11/24, 28, 22, 9, 2, 5
2024/11/25, 71, 13, 8, 2, 8
2024/11/26, 48, 16, 14, 2, 9
2024/11/27, 52, 7, 6, 3, 5
2024/11/28, 28, 6, 5, 2, 5
2024/11/29, 25, 12, 3, 2, 4
2024/11/30, 49, 11, 7, 2, 4
2024/12/1, 40, 19, 12, 2, 5
2024/12/2, 57, 15, 10, 2, 5
2024/12/3, 56, 20, 10, 2, 6
2024/12/4, 66, 22, 9, 2, 6
2024/12/5, 73, 9, 6, 2, 5
2024/12/6, 34, 12, 6, 2, 5
2024/12/7, 49, 6, 4, 2, 4
2024/12/8, 26, 8, 4, 2, 4
2024/12/9, 36, 5, 4, 2, 4
2024/12/10, 21, 9, 6, 2, 3
2024/12/11, 37, 17, 8, 2, 4
2024/12/12, 62, 13, 7, 2, 3
2024/12/13, 49, 12, 8, 3, 3
2024/12/14, 45, 8, 5, 2, 6
2024/12/15, 31, 3, 3, 2, 7
2024/12/16, 12, 4, 3, 2, 6
2024/12/17, 13, 10, 9, 2, 9
2024/12/18, 39, 15, 9, 3, 5
2024/12/19, 54, 8, 6, 2, 4
2024/12/20, 34, 8, 12, , 5
2024/12/21, 25, 7, 5, 2, 6
2024/12/22, 26, 11, 7, 5, 4
2024/12/23, 40, 6, 1, 2, 3
2024/12/24, 25, 9, 1, 1, 3
2024/12/25, 36, 19, 13, 1, 5
2024/12/26, 56, 29, 16, 1, 7
2024/12/27, 75, 27, 17, 1, 8
2024/12/28, 74, 35, 14, 1, 9
2024/12/29, 98, , , , 
2024/7/1, 39, 7, 2, 4, 3
2024/7/2, 23, 10, 2, 4, 3
2024/7/3, 27, 10, 1, 2, 3
2024/7/4, 35, 5, 2, 3, 3
2024/7/5, 17, 11, 3, 2, 3
2024/7/6, 34, 18, 2, 3, 4
2024/7/7, 50, 18, 3, 2, 4
2024/7/8, 53, 21, 1, 3, 4
2024/7/9, 54, 29, 2, 3, 4
2024/7/10, 71, 26, 5, 3, 4
2024/7/11, 64, 23, 3, 4, 4
2024/7/12, 59, 23, 3, 5, 4
2024/7/13, 62, 17, 1, 7, 4
2024/7/14, 50, 19, 1, 8, 4
2024/7/15, 51, 25, 3, 8, 5
2024/7/16, 65, 16, 4, 15, 4
2024/7/17, 52, 16, 3, 6, 4
2024/7/18, 48, 19, 2, 8, 4
2024/7/19, 54, 14, 2, 9, 3
2024/7/20, 48, 16, 2, , 4
2024/7/21, 52, 18, 2, , 3
2024/7/22, 58, 14, 3, 4, 3
2024/7/23, 52, 10, 2, 5, 3
2024/7/24, 37, 9, 2, 7, 3
2024/7/25, 28, 12, 2, 5, 3
2024/7/26, 39, 15, 1, 4, 3
2024/7/27, 51, 14, 2, 5, 3
2024/7/28, 46, 8, 2, 5, 3
2024/7/29, 25, 9, 3, 6, 3
2024/7/30, 28, 14, 2, 6, 3
2024/7/31, 43, 18, 3, 8, 3
2024/8/1, 51, 17, 2, 8, 3
2024/8/2, 53, 7, 1, 9, 3
2024/8/3, 24, 9, 2, 8, 3
2024/8/4, 27, 8, 2, 6, 3
2024/8/5, 25, 9, 3, 4, 3
2024/8/6, 24, 14, 2, 5, 3
2024/8/7, 42, 14, 3, 4, 3
2024/8/8, 42, 13, 3, 4, 3
2024/8/9, 43, 13, 3, 4, 4
2024/8/10, 43, 12, 2, 3, 4
2024/8/11, 45, 15, 1, 2, 4
2024/8/12, 51, 17, 5, 4, 4
2024/8/13, 51, 17, 3, 4, 4
2024/8/14, 54, 18, 5, 3, 4
2024/8/15, 53, 20, 2, 3, 4
2024/8/16, 62, 18, 2, 4, 4
2024/8/17, 58, 16, 2, 5, 4
2024/8/18, 55, 15, 3, 3, 4
2024/8/19, 48, 12, , 4, 4
2024/8/20, 39, 15, 4, 5, 4
2024/8/21, 47, 13, 3, 3, 4
2024/8/22, 35, 13, 2, 1, 3
2024/8/23, 37, 19, 4, 2, 4
2024/8/24, 55, 21, 4, 2, 4
2024/8/25, 66, 16, 2, 2, 4
2024/8/26, 51, 20, 2, 2, 4
2024/8/27, 58, 25, 4, 2, 4
2024/8/28, 67, 23, 3, 3, 4
2024/8/29, 64, 26, 4, 3, 4
2024/8/30, 66, 24, 2, 3, 4
2024/8/31, 64, 23, 2, 3, 4
2024/9/1, 64, 17, 5, 3, 4
2024/9/2, 54, 21, 4, 3, 4
2024/9/3, 56, 25, 4, 3, 4
2024/9/4, 61, 27, 3, 4, 4
2024/9/5, 53, 27, 5, 4, 4
2024/9/6, 51, 25, 5, 3, 4
2024/9/7, 50, 28, 4, 4, 4
2024/9/8, 60, 23, 7, 4, 4
2024/9/9, 45, 9, 5, 4, 3
2024/9/10, 25, 9, 5, 4, 2
2024/9/11, 25, 11, 4, 4, 2
2024/9/12, 30, 15, 4, 4, 2
2024/9/13, 46, 5, 2, 5, 2
2024/9/14, 15, 4, 1, 5, 2
2024/9/15, 13, 8, 2, 5, 2
2024/9/16, 21, 30, 4, 4, 3
2024/9/17, 48, 27, 5, 4, 2
2024/9/18, 58, 17, 3, 4, 2
2024/9/19, 45, 19, 5, 2, 2
2024/9/20, 47, 16, 5, 1, 2
2024/9/21, 44, 15, 4, 1, 2
2024/9/22, 44, 20, 8, 1, 2
2024/9/23, 49, 25, 8, 2, 2
2024/9/24, 55, 10, 6, 2, 2
2024/9/25, 28, 11, 3, 2, 2
2024/9/26, 28, 12, 7, 1, 2
2024/9/27, 28, 9, 2, 2, 2
2024/9/28, 31, 6, 1, 1, 2
2024/9/29, 21, 8, 5, 1, 2
2024/9/30, 20, 11, 6, 1, 2
2024/4/1, 110, 29, 3, 6, 3
2024/4/2, 55, 6, 3, 4, 4
2024/4/3, 16, 9, 10, 4, 4
2024/4/4, 21, 7, 4, 4, 4
2024/4/5, 25, 10, 3, 3, 4
2024/4/6, 33, 13, 4, 3, 4
2024/4/7, 43, 18, 5, 3, 4
2024/4/8, 50, 21, 7, 4, 3
2024/4/9, 47, 20, 4, 3, 3
2024/4/10, 40, 19, 2, 2, 3
2024/4/11, 51, 20, 4, 2, 3
2024/4/12, 56, 16, 3, 3, 3
2024/4/13, 43, 17, 3, 3, 3
2024/4/14, 45, 17, 6, 5, 3
2024/4/15, 36, 6, 4, 6, 3
2024/4/16, 14, 7, 4, 6, 3
2024/4/17, 20, 7, 2, 5, 3
2024/4/18, 21, 6, 3, 5, 3
2024/4/19, 18, 5, 3, 5, 3
2024/4/20, 13, 5, 1, 5, 3
2024/4/21, 16, 7, 3, 4, 3
2024/4/22, 26, 12, 1, 5, 3
2024/4/23, 44, 12, 2, 6, 4
2024/4/24, 41, 8, 3, 6, 4
2024/4/25, 29, 8, 4, 5, 4
2024/4/26, 26, 12, 3, 5, 4
2024/4/27, 41, 14, 7, 4, 4
2024/4/28, 48, 20, 6, 3, 4
2024/4/29, 55, 18, 5, 3, 3
2024/4/30, 45, 17, 6, 3, 3
2024/5/1, 40, 19, 5, 5, 4
2024/5/2, 40, 16, 4, 4, 3
2024/5/3, 40, 16, 2, 4, 3
2024/5/4, 44, 17, 2, 4, 3
2024/5/5, 46, 15, 5, 4, 3
2024/5/6, 42, 10, 1, 6, 4
2024/5/7, 32, 10, 1, 4, 3
2024/5/8, 29, 12, 4, 4, 3
2024/5/9, 30, 16, 2, 3, 3
2024/5/10, 45, 14, 1, 4, 3
2024/5/11, 43, 9, 1, 4, 3
2024/5/12, 25, 10, 3, 4, 3
2024/5/13, 24, 11, 4, 4, 3
2024/5/14, 26, 13, 4, 4, 3
2024/5/15, 29, 16, 4, 3, 3
2024/5/16, 37, 17, 3, 5, 3
2024/5/17, 38, 9, 1, 5, 3
